{ A1: 21.8, A2: 19, B7: 10, C14: 95 }
{ A1: 21.8, A2: 17, B7: 3, C14: 10 }
{ A1: 21.8, A2: 17, B7: 3, C14: 18 }
{ A1: 21.8, A2: 17, B7: 3, C14: 50 }
{ A1: 21.8, A2: 17, B7: 3, C14: 56 }
{ A1: 21.8, A2: 17, B7: 3, C14: 60 }
{ A1: 21.8, A2: 17, B7: 3, C14: 53 }
{ A1: 21.8, A2: 17, B7: 3, C14: 55 }
{ A1: 21.8, A2: 17, B7: 3, C14: 57 }
{ A1: 21.8, A2: 17, B7: 3, C14: 57 }
{ A1: 21.8, A2: 17, B7: 3, C14: 55 }
{ A1: 21.8, A2: 17, B7: 3, C14: 60 }
{ A1: 21.8, A2: 17, B7: 3, C14: 54 }
{ A1: 21.8, A2: 17, B7: 3, C14: 55 }
{ A1: 21.8, A2: 17, B7: 3, C14: 58 }
{ A1: 21.8, A2: 17, B7: 3, C14: 57 }
{ A1: 21.8, A2: 17, B7: 3, C14: 62 }
{ A1: 21.8, A2: 18, B7: 3, C14: 63 }
{ A1: 21.8, A2: 17, B7: 3, C14: 58 }
{ A1: 21.8, A2: 17, B7: 3, C14: 60 }
{ A1: 21.8, A2: 17, B7: 3, C14: 62 }
{ A1: 21.8, A2: 17, B7: 3, C14: 61 }
{ A1: 21.8, A2: 17, B7: 3, C14: 57 }
{ A1: 21.8, A2: 17, B7: 3, C14: 57 }
{ A1: 21.8, A2: 17, B7: 3, C14: 63 }
{ A1: 21.8, A2: 17, B7: 3, C14: 60 }
{ A1: 21.8, A2: 18, B7: 3, C14: 65 }
{ A1: 21.8, A2: 18, B7: 3, C14: 58 }
{ A1: 21.8, A2: 18, B7: 3, C14: 58 }
{ A1: 21.8, A2: 18, B7: 3, C14: 59 }
{ A1: 21.8, A2: 18, B7: 3, C14: 58 }
{ A1: 21.8, A2: 18, B7: 3, C14: 57 }
{ A1: 21.8, A2: 17, B7: 3, C14: 61 }
{ A1: 21.8, A2: 18, B7: 3, C14: 63 }
{ A1: 21.8, A2: 18, B7: 3, C14: 59 }
{ A1: 21.8, A2: 18, B7: 3, C14: 60 }
{ A1: 21.8, A2: 18, B7: 3, C14: 67 }
{ A1: 21.8, A2: 18, B7: 3, C14: 60 }
{ A1: 21.8, A2: 18, B7: 3, C14: 64 }
{ A1: 21.8, A2: 18, B7: 3, C14: 66 }
{ A1: 21.8, A2: 18, B7: 3, C14: 60 }
{ A1: 21.8, A2: 18, B7: 3, C14: 60 }
{ A1: 21.8, A2: 17, B7: 3, C14: 61 }
{ A1: 21.8, A2: 17, B7: 3, C14: 60 }
{ A1: 21.8, A2: 18, B7: 3, C14: 68 }
{ A1: 21.8, A2: 17, B7: 3, C14: 66 }
{ A1: 21.8, A2: 17, B7: 3, C14: 69 }
{ A1: 21.8, A2: 18, B7: 3, C14: 69 }
{ A1: 21.8, A2: 18, B7: 3, C14: 62 }
{ A1: 21.8, A2: 19, B7: 3, C14: 61 }
{ A1: 21.8, A2: 18, B7: 3, C14: 66 }
{ A1: 21.8, A2: 18, B7: 3, C14: 67 }
{ A1: 21.8, A2: 18, B7: 3, C14: 65 }
{ A1: 21.8, A2: 17, B7: 3, C14: 64 }
{ A1: 21.8, A2: 17, B7: 3, C14: 62 }
{ A1: 21.8, A2: 18, B7: 5, C14: 65 }
{ A1: 21.8, A2: 18, B7: 3, C14: 65 }
{ A1: 21.8, A2: 18, B7: 3, C14: 69 }
{ A1: 21.8, A2: 18, B7: 3, C14: 65 }
{ A1: 21.8, A2: 18, B7: 3, C14: 69 }
{ A1: 21.8, A2: 19, B7: 3, C14: 72 }
{ A1: 21.8, A2: 18, B7: 3, C14: 66 }
{ A1: 21.8, A2: 18, B7: 3, C14: 67 }
{ A1: 21.8, A2: 17, B7: 3, C14: 76 }
{ A1: 21.8, A2: 17, B7: 3, C14: 76 }
{ A1: 21.8, A2: 17, B7: 3, C14: 75 }
{ A1: 21.8, A2: 18, B7: 3, C14: 71 }
{ A1: 21.8, A2: 17, B7: 3, C14: 80 }
{ A1: 21.8, A2: 17, B7: 3, C14: 77 }
{ A1: 21.8, A2: 17, B7: 3, C14: 77 }
{ A1: 21.8, A2: 18, B7: 3, C14: 77 }
{ A1: 21.8, A2: 18, B7: 3, C14: 81 }
{ A1: 21.8, A2: 17, B7: 3, C14: 90 }
{ A1: 21.8, A2: 17, B7: 3, C14: 90 }
{ A1: 21.8, A2: 17, B7: 3, C14: 89 }
{ A1: 21.8, A2: 17, B7: 3, C14: 96 }
{ A1: 21.8, A2: 17, B7: 3, C14: 96 }
{ A1: 21.8, A2: 18, B7: 3, C14: 89 }
{ A1: 21.8, A2: 17, B7: 3, C14: 97 }
{ A1: 21.8, A2: 17, B7: 3, C14: 95 }
{ A1: 21.8, A2: 19, B7: 3, C14: 99 }
{ A1: 21.8, A2: 19, B7: 4, C14: 98 }
{ A1: 21.8, A2: 19, B7: 4, C14: 100 }
{ A1: 21.8, A2: 18, B7: 4, C14: 97 }
{ A1: 21.8, A2: 19, B7: 4, C14: 94 }
{ A1: 21.8, A2: 18, B7: 3, C14: 101 }
{ A1: 21.8, A2: 19, B7: 3, C14: 100 }
{ A1: 21.8, A2: 19, B7: 4, C14: 96 }
{ A1: 21.8, A2: 18, B7: 4, C14: 96 }
{ A1: 21.8, A2: 19, B7: 4, C14: 104 }
{ A1: 21.8, A2: 18, B7: 4, C14: 97 }
{ A1: 21.8, A2: 19, B7: 4, C14: 98 }
{ A1: 21.8, A2: 19, B7: 4, C14: 106 }
{ A1: 21.8, A2: 19, B7: 4, C14: 107 }
{ A1: 21.9, A2: 19, B7: 4, C14: 101 }
{ A1: 21.9, A2: 19, B7: 4, C14: 102 }
{ A1: 21.9, A2: 19, B7: 4, C14: 106 }
{ A1: 21.9, A2: 19, B7: 4, C14: 100 }
{ A1: 21.9, A2: 19, B7: 4, C14: 101 }
{ A1: 21.9, A2: 19, B7: 4, C14: 108 }
{ A1: 21.9, A2: 19, B7: 4, C14: 107 }
{ A1: 21.9, A2: 19, B7: 4, C14: 111 }
{ A1: 21.9, A2: 19, B7: 4, C14: 103 }
{ A1: 21.9, A2: 19, B7: 4, C14: 110 }
{ A1: 21.9, A2: 19, B7: 4, C14: 111 }
{ A1: 22, A2: 19, B7: 4, C14: 105 }
{ A1: 22, A2: 19, B7: 4, C14: 107 }
{ A1: 22, A2: 19, B7: 4, C14: 112 }
{ A1: 22, A2: 19, B7: 4, C14: 113 }
{ A1: 22, A2: 19, B7: 4, C14: 115 }
{ A1: 22, A2: 19, B7: 4, C14: 109 }
{ A1: 22, A2: 19, B7: 4, C14: 114 }
{ A1: 22, A2: 19, B7: 4, C14: 116 }
{ A1: 22, A2: 19, B7: 4, C14: 117 }
{ A1: 22, A2: 19, B7: 4, C14: 111 }
{ A1: 22, A2: 19, B7: 4, C14: 110 }
{ A1: 22, A2: 19, B7: 4, C14: 114 }
{ A1: 22, A2: 19, B7: 4, C14: 118 }
{ A1: 22, A2: 19, B7: 4, C14: 120 }
{ A1: 22, A2: 19, B7: 4, C14: 117 }
{ A1: 22, A2: 19, B7: 4, C14: 115 }
{ A1: 22, A2: 19, B7: 4, C14: 116 }
{ A1: 22, A2: 19, B7: 4, C14: 120 }
{ A1: 21.9, A2: 19, B7: 4, C14: 113 }
{ A1: 21.9, A2: 19, B7: 4, C14: 114 }
{ A1: 21.9, A2: 19, B7: 4, C14: 114 }
{ A1: 21.9, A2: 19, B7: 4, C14: 114 }
{ A1: 21.9, A2: 19, B7: 4, C14: 115 }
{ A1: 21.9, A2: 19, B7: 4, C14: 113 }
{ A1: 21.9, A2: 19, B7: 4, C14: 114 }
{ A1: 22, A2: 19, B7: 4, C14: 117 }
{ A1: 22, A2: 19, B7: 4, C14: 115 }
